publikationsjahr;wohnviertel_id;wohnviertel_name;anteil_sozialhilfeempfaenger;anteil_auslaender;anteil_personen_ohne_religionszugehoerigkeit;anteil_personen_in_einpersonenhaushalten;gymnasialquote;altersquotient;anteil_sesshafte;jugendquotient;baujahr_der_wohngebaeude;anteil_einfamilienhaeuser;anteil_gruenflaechen;flaeche_pro_wohnung;wohnflaeche_pro_person;vermoegenssteuer_pro_veranlagung;einkommenssteuer_pro_veranlagung;erwerbstaetigenquote;arbeitsplaetze_pro_einwohner;arbeitslosenquote
2015;5;St. Alban;0.0324150597;0.3085399449;0.4723599633;0.2511932616;0.4786324786;0.4901769768;0.3474747475;0.2779672025;1938.6675042;0.3400335008;0.3227323161;93.782306324;49.809694;3839.5558889;15620.768077;0.7289325653;2.1964539042;0.0297646061
2015;14;Wettstein;0.0484707566;0.2952960114;0.5106421034;0.2716890772;0.5972222222;0.3012472885;0.3634412449;0.2147505423;1933.2017045;0.3394886364;0.2750203793;83.081255771;45.870096;1688.9717411;9934.1610453;0.7730590712;1.8122657655;0.0307747873
2015;16;Rosental;0.1069889451;0.5441259134;0.3846730373;0.2144889057;0.0921052632;0.129697286;0.231216039;0.2630480167;1945.9581882;0.0522648084;0.0838723923;69.305816789;33.392761;225.05179584;5816.1758034;0.7003501874;0.9755240767;0.0561192764
2015;20;Riehen;0.032510622;0.2406549864;0.4588723922;0.1653416573;0.5225;0.4891934634;0.4338091373;0.3511685117;1956.9330085;0.6613885505;0.7971970588;102.9512657;47.776757;2958.9716796;13108.315789;0.732929437;0.1599758339;0.018997877
2015;30;Bettingen;0.0153473344;0.2770597738;0.4216478191;0.1113105925;0.6666666667;0.4057771664;0.4095315024;0.2971114168;1961.9710611;0.7909967846;0.9034484133;121.40650407;51.261065;2692.6188198;13426.116427;0.732929437;0.2943346012;0.018997877
2016;1;Altstadt Grossbasel;0.0186234818;0.2526315789;0.5275303644;0.3238866397;0.6875;0.2966150316;0.3275303644;0.1204819277;1825.4615385;0.1012145749;0.0669919477;90.383055757;55.190427699;5188.1848894;17343.393735;0.821070228;4.4224977046;0.0152577544
2016;2;Vorstädte;0.0324412003;0.3684103812;0.5419708029;0.3306934932;0.6666666667;0.379525593;0.2761557178;0.1598002497;1898.6623616;0.0793357934;0.1959563245;82.064324002;50.417294042;7828.9125886;16127.909889;0.8100294788;4.5909770873;0.0242808282
2016;8;Bachletten;0.0238920434;0.2138485362;0.4655261411;0.2191074232;0.6507936508;0.3713899472;0.419733058;0.2951947892;1934.1433134;0.5636726547;0.4158910593;93.209538376;46.922235541;1762.144018;11286.095512;0.7867315425;0.1941237061;0.0208221466
2016;10;Iselin;0.0888379942;0.3673457088;0.4484691418;0.2752863758;0.2824427481;0.2552763819;0.3269648023;0.2606669712;1937.1028295;0.1670117322;0.3683115309;68.61622807;37.090903537;425.08366863;6358.4781801;0.6941878054;0.1599629595;0.0459342343
2016;11;St. Johann;0.0852206273;0.4343434343;0.4583732057;0.2336505477;0.3169014085;0.2272119544;0.3071770335;0.252143138;1932.9156785;0.2496706192;0.2714846156;71.766733068;36.569330525;486.03965292;6338.095167;0.7058676515;1.0017170903;0.0485466598
